Date,Open,High,Low,Close,Adj Close,Volume
2021-02-19,1.000200,1.001300,0.999700,1.000500,1.000500,7053750210
2021-02-20,1.000500,1.000600,0.999600,1.000000,1.000000,6560584683
2021-02-21,1.000000,1.000400,0.999700,1.000400,1.000400,4639465265
2021-02-22,1.000400,1.002300,0.999000,1.000000,1.000000,7540580311
2021-02-23,1.000000,1.000400,0.998000,1.000200,1.000200,9186814107
2021-02-24,0.999900,1.000600,0.999700,1.000200,1.000200,5572865039
2021-02-25,1.000100,1.000400,0.999700,0.999700,0.999700,4059219851
2021-02-26,0.999700,1.000200,0.999400,1.000200,1.000200,23578135515
2021-02-27,1.000200,1.000200,0.999300,1.000200,1.000200,3330177656
2021-02-28,1.000200,1.000500,0.999700,0.999900,0.999900,4127750235
2021-03-01,0.999900,1.000400,0.999800,1.000100,1.000100,4299984920
2021-03-02,1.000100,1.000200,0.999700,1.000000,1.000000,3505670001
2021-03-03,1.000000,1.000200,0.999700,0.999900,0.999900,3546107930
2021-03-04,0.999900,1.000200,0.999600,1.000000,1.000000,3951898473
2021-03-05,1.000000,1.000500,0.999500,0.999900,0.999900,3472489758
2021-03-06,0.999900,1.000500,0.999700,1.000000,1.000000,2371262559
2021-03-07,1.000000,1.000400,0.999800,0.999900,0.999900,2949208178
2021-03-08,0.999900,1.000300,0.999700,1.000100,1.000100,3378462233
2021-03-09,1.000100,1.000300,0.999800,1.000200,1.000200,4572061979
2021-03-10,1.000000,1.000400,0.999700,0.999900,0.999900,4791103405
2021-03-11,0.999900,1.000200,0.999700,0.999900,0.999900,4505703092
2021-03-12,0.999900,1.000300,0.999700,1.000100,1.000100,4447846389
2021-03-13,1.000100,1.000200,0.998400,1.000000,1.000000,4482729178
2021-03-14,1.000000,1.000200,0.999600,0.999800,0.999800,3265374453
2021-03-15,0.999800,1.000400,0.999300,1.000100,1.000100,5219843404
2021-03-16,0.999900,1.000300,0.998700,1.000100,1.000100,4732074983
2021-03-17,1.000100,1.002214,0.998614,0.998769,0.998769,3969179179
2021-03-18,0.998821,1.001569,0.998554,1.001258,1.001258,3979545904
2021-03-19,1.001196,1.004137,1.000502,1.002940,1.002940,3058562495
2021-03-20,1.002816,1.004189,1.001397,1.002396,1.002396,2713906951
2021-03-21,1.002368,1.002951,0.999168,1.000847,1.000847,2724515184
2021-03-22,1.001043,1.003957,0.998829,1.001561,1.001561,3500459259
2021-03-23,1.001638,1.002250,1.000300,1.000939,1.000939,3341348302
2021-03-24,1.001144,1.002593,0.999792,1.001713,1.001713,4039309604
2021-03-25,1.001783,1.001783,1.000001,1.000769,1.000769,4386998346
