Date,Bitcoin,Crypto,Cryptocurrency,ETH,Crytpo Regulations,Crypto Ban,Crypto Bubble,Bull,Bear,Hack,Crypto Market,Stocks,Time to buy,should I sell,how to buy,exchange,wallet,mining,blockchain,Bitcoin_delta,Crypto_delta,Cryptocurrency_delta,ETH_delta,Crytpo Regulations_delta,Crypto Ban_delta,Crypto Bubble_delta,Bull_delta,Bear_delta,Hack_delta,Crypto Market_delta,Stocks_delta,Time to buy_delta,should I sell_delta,how to buy_delta,exchange_delta,wallet_delta,mining_delta,blockchain_delta,Open,High,Low,Close,Volume,PriceDelta,VolumeDelta,EMA3,EMA7,EMA14,EMA20,EMA50,Volume_USDT,VolumeDelta_USDT,Volatility_USDT,Yesterday_Price,3day_Past_Mean_Price,7day_Past_Mean_Price,Yesterday_Volume,3day_Past_Mean_Volume,7day_Past_Mean_Volume,Yesterday_Vol_USDT,3day_Past_Mean_Vol_USDT,7day_Past_Mean_Vol_USDT,RSI,RSI_BuySellFlag,EMA_BuySellFlag
7/13/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9277.205078,9306.405273,9224.292969,9243.614258,17519821266,-32.885742,3067459359,9257.610925,9260.624953,9258.485539,9269.772049,9222.821337,23293356124,4732847718,0.01027,9276.5,9253.486979,9285.406669,14452361907,15074031206,16232120603,18560508406,19553518544,21631363087,48.60796877,0,-1
7/14/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9238.703125,9283.841797,9171.661133,9243.213867,18085038362,-0.400391,565217096,9250.412396,9256.272182,9256.449316,9267.242698,9223.621044,21927614040,-1365742084,0.008188,9243.614258,9254.442708,9284.111886,17519821266,16685740512,16838604284,23293356124,21260492857,21869199449,48.59337386,0,0
7/15/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9241.897461,9275.325195,9171.933594,9192.836914,15844731575,-50.376953,-2240306787,9221.624655,9240.413365,9247.967663,9260.156433,9222.413823,19801020732,-2126593308,0.007346,9243.213867,9226.555013,9250.469587,18085038362,17149863734,16287514526,21927614040,21673996965,20623597111,46.69367713,0,0
7/16/2020,14,2,1,1,0,0,0,73,80,69,0,31,4,0,77,68,31,24,8,14,2,1,1,0,0,0,73,80,69,0,31,4,0,77,68,31,24,8,9191.980469,9214.3125,9088.947266,9132.227539,15713967523,-60.609375,-130764052,9176.926097,9213.366908,9232.535646,9247.972729,9218.877106,20174060342,373039610,0.009249,9192.836914,9189.426107,9229.649554,15844731575,16547912487,15960838097,19801020732,20634231705,19997079821,44.44255611,0,0
7/17/2020,8,1,0,1,0,0,1,79,79,46,1,30,9,0,85,64,34,16,5,-6,-1,-1,0,0,0,1,6,-1,-23,1,-1,5,0,8,-4,3,-8,-3,9131.8125,9182.253906,9089.202148,9151.392578,13944570749,19.165039,-1769396774,9164.159337,9197.873326,9221.71657,9238.774619,9216.230654,16824229378,-3349830964,0.007573,9132.227539,9158.81901,9211.447405,15713967523,15167756616,15544343118,20174060342,18933103484,19626782875,45.33991395,0,0
7/18/2020,7,1,1,0,0,2,2,67,89,43,0,29,7,0,72,53,31,16,7,-1,0,1,-1,0,2,1,-12,10,-3,-1,-1,-2,0,-13,-11,-3,0,2,9151.183594,9230.983398,9100.824219,9159.040039,12252601475,7.647461,-1691969274,9161.599688,9188.165004,9213.3597,9231.180849,9213.987885,15430964635,-1393264743,0.01085,9151.392578,9147.553385,9199.832171,13944570749,13970379916,15401870408,16824229378,17476418118,19430250522,45.71668887,0,0
7/19/2020,9,2,1,0,0,0,0,81,94,38,0,23,14,7,76,55,27,15,6,2,1,0,0,0,-2,-2,14,5,-5,0,-6,7,7,4,2,-4,-1,-1,9158.005859,9201.398438,9097.632813,9185.817383,12939002784,26.777344,686401309,9173.708536,9187.578099,9209.687391,9226.860519,9212.883159,16068695380,637730745,0.010572,9159.040039,9165.416667,9186.877511,12252601475,13045391669,15185676248,15430964635,16107963131,19074277233,47.09189806,0,0
7/20/2020,7,2,1,0,0,0,0,92,97,43,0,28,8,0,87,63,32,14,6,-2,0,0,0,0,0,0,11,3,5,0,5,-6,-7,11,8,5,-1,0,9187.220703,9214.270508,9137.509766,9164.231445,13755604146,-21.585938,816601362,9168.96999,9181.741435,9203.626598,9220.895846,9210.975249,16920167824,851472444,0.007206,9185.817383,9169.696289,9175.537109,12939002784,12982402802,14647930945,16068695380,16139942613,18163821762,46.07847988,0,0
7/21/2020,8,2,1,1,0,2,8,73,98,37,0,36,7,0,90,69,28,20,7,1,0,0,1,0,2,8,-19,1,-6,0,8,-1,0,3,6,-4,6,1,9162.514648,9407.262695,9149.389648,9374.887695,18069581956,210.65625,4313977810,9271.928843,9230.028,9226.461411,9235.561736,9217.403188,22047241258,5127073434,0.00863,9164.231445,9241.645508,9194.347656,13755604146,14921396295,14645722887,16920167824,18345368154,18180911364,56.02435159,0,1
7/22/2020,9,2,1,1,0,1,0,83,95,37,0,31,7,0,93,70,33,20,6,1,0,0,0,0,-1,-8,10,-3,0,0,-5,0,0,3,1,5,0,-1,9375.080078,9530.518555,9319.65332,9525.363281,16532254884,150.475586,-1537327072,9398.646062,9303.86182,9266.314994,9263.161883,9229.480054,21007802308,-1039438950,0.013402,9374.887695,9354.827474,9241.851423,18069581956,16119146995,14743940502,22047241258,19991737130,18353308732,61.48877603,0,0
7/23/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9,-2,-1,-1,0,-1,0,-83,-95,-37,0,-31,-7,0,-93,-70,-33,-20,-6,9527.141602,9610.24707,9483.003906,9581.072266,18146399002,55.708985,1614144118,9489.859164,9373.164432,9308.28263,9293.439062,9243.267984,24897129948,3889327640,0.007263,9525.363281,9493.774414,9305.972098,16532254884,17582745281,15091430714,21007802308,22650724505,19028032962,63.30664862,0,0
7/24/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9585.514648,9623.336914,9481.454102,9536.892578,16552768325,-44.179688,-1593630677,9513.375871,9414.096468,9338.763956,9316.625112,9254.782674,22338273101,-2558856847,0.006817,9581.072266,9547.776042,9361.043527,18146399002,17077140737,15464030367,24897129948,22747735119,19815753493,60.85339193,0,0
7/25/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9539.485352,9704.556641,9530.211914,9677.113281,16610070933,140.220703,57302608,9595.244576,9479.850672,9383.8772,9350.957318,9271.344659,25077707687,2739434586,0.006686,9536.892578,9598.359375,9435.05399,16552768325,17103079420,16086526004,22338273101,24104370245,21193859644,65.43208035,0,0
7/26/2020,32,8,2,5,0,3,0,91,91,36,0,13,6,0,95,49,28,16,6,32,8,2,5,0,3,0,91,91,36,0,13,6,0,95,49,28,16,6,9680.234375,10023.80762,9652.847656,9905.166992,20507998997,228.053711,3897928064,9750.205784,9586.179752,9453.382505,9403.739192,9296.200437,28852807826,3775100139,0.0157,9677.113281,9706.39095,9537.81822,16610070933,17890279418,17167811178,25077707687,25422929538,23020161422,71.30959048,0,0
7/27/2020,30,7,2,5,0,0,0,100,77,39,0,23,9,4,79,62,33,17,7,-2,-1,0,0,0,-3,0,9,-14,3,0,10,3,4,-16,13,5,1,1,9905.217773,11298.22168,9903.969727,10990.87305,35359749590,1085.706058,14851750593,10370.53942,9937.353076,9658.381245,9554.894797,9362.658186,44309144839,15456337013,0.022055,9905.166992,10191.05111,9798.76702,20507998997,24159273173,20254117670,28852807826,32746553451,26932872424,84.67168205,0,0
7/28/2020,70,6,3,4,0,0,0,77,79,32,0,24,16,4,83,65,24,22,10,40,-1,1,-1,0,0,0,-23,2,-7,0,1,7,0,4,3,-9,5,3,11017.46387,11204.32715,10632.63184,10912.82324,28766551142,-78.04981,-6593198448,10641.68133,10181.22062,9825.640177,9684.221316,9423.448972,37054214114,-7254930725,0.012377,10990.87305,10602.95443,10018.4721,35359749590,28211433243,21782256125,44309144839,36738722260,29076725689,81.72497629,0,0
7/29/2020,42,5,4,3,0,2,0,79,75,32,3,26,9,3,83,68,29,18,6,-28,-1,1,-1,0,2,0,2,-4,0,3,2,-7,-1,0,3,5,-4,-4,10912.95313,11304.39746,10856.1416,11100.46777,24617249715,187.64453,-4149301427,10871.07455,10411.03241,9995.61719,9819.10193,9489.214416,31945080196,-5109133918,0.012904,10912.82324,11001.38802,10243.48703,28766551142,29581183482,22937255386,37054214114,37769479716,30639193959,83.23553314,0,0
