"DateTime","Inflow","Price"
"2021-02-01 00:00:00",7412008.9,1566.77
"2021-02-08 00:00:00",6175010.55,1772.33
"2021-02-15 00:00:00",6068740.84,1859.1
"2021-02-22 00:00:00",8675792.45,1539.55
"2021-03-01 00:00:00",7582433.86,1561.19
"2021-03-08 00:00:00",6439837.72,1814.04
"2021-03-15 00:00:00",5676981.11,1797.37
"2021-03-22 00:00:00",5453478.96,1669.35
"2021-03-29 00:00:00",8192682.6,1933.08
"2021-04-05 00:00:00",4908178.62,2078.92
"2021-04-12 00:00:00",6673098.61,2315.08
"2021-04-19 00:00:00",6618939.39,2286.5
"2021-04-26 00:00:00",5662606.99,2706.4
"2021-05-03 00:00:00",6870705.25,3496.5
"2021-05-10 00:00:00",7595627.36,3892.46
"2021-05-17 00:00:00",14145753.13,2705.26
"2021-05-24 00:00:00",11489195.8,2537.87
"2021-05-31 00:00:00",5177682.49,2665.65
"2021-06-07 00:00:00",4889769.48,2488.06
"2021-06-14 00:00:00",4470739.87,2368.97
"2021-06-21 00:00:00",6317139.18,1914.3
"2021-06-28 00:00:00",3916831.42,2161.63
"2021-07-05 00:00:00",3807806.25,2206.87
"2021-07-12 00:00:00",4278864.1,1957.52
"2021-07-19 00:00:00",4220048.26,1986.37
"2021-07-26 00:00:00",3759777.15,2379.74
"2021-08-02 00:00:00",3922969.74,2765.26
"2021-08-09 00:00:00",3061130.6,3166.6
"2021-08-16 00:00:00",3143618.55,3171.15
"2021-08-23 00:00:00",4284753.98,3217.66
"2021-08-30 00:00:00",3873289.22,3665.51
"2021-09-06 00:00:00",4535780.19,3472.92
"2021-09-13 00:00:00",3001941.56,3428.34
"2021-09-20 00:00:00",4387005.65,2973.94
"2021-09-27 00:00:00",2529993.69,3095.76
"2021-10-04 00:00:00",3739059.92,3502.48
"2021-10-11 00:00:00",3264047.04,3669.42
"2021-10-18 00:00:00",3795082.53,3992.88
"2021-10-25 00:00:00",4457224.36,4220.48
"2021-11-01 00:00:00",4162764.37,4472.55
"2021-11-08 00:00:00",3206413.12,4680.69
"2021-11-15 00:00:00",6008259.65,4306.23
"2021-11-22 00:00:00",3931248.96,4222.02
"2021-11-29 00:00:00",4218321.93,4372.12
"2021-12-06 00:00:00",3542547.33,4176.31
"2021-12-13 00:00:00",3874523.48,3899.02
"2021-12-20 00:00:00",2713005.25,4015.24
"2021-12-27 00:00:00",3040921.04,3800.7
"2022-01-03 00:00:00",3791889.6,3448.26
"2022-01-10 00:00:00",2940931.09,3252.69
"2022-01-17 00:00:00",5143975.27,2905.45
"2022-01-24 00:00:00",4489472.6,2484.93
"2022-01-31 00:00:00",3084403.63,2795.19
"2022-02-07 00:00:00",3312933.76,3056
"2022-02-14 00:00:00",2626427.85,2909.46
"2022-02-21 00:00:00",4007798.68,2660.21
"2022-02-28 00:00:00",2560296.01,2788.6
"2022-03-07 00:00:00",2345126.65,2593.6
"2022-03-14 00:00:00",2872276.89,2764.11
"2022-03-21 00:00:00",2972078.89,3055.34
