"Date(UTC)","Unique Address Total Count","Unique Address Receive Count","Unique Address Sent Count"
"03/24/2017","2078","1855","658"
"03/25/2017","1874","1603","684"
"03/26/2017","1710","1474","679"
"03/27/2017","2825","2542","938"
"03/28/2017","2826","2520","800"
"03/29/2017","8813","8510","964"
"03/30/2017","4682","4295","1110"
"03/31/2017","3378","2917","1260"
"04/01/2017","2237","1954","683"
"04/02/2017","1984","1743","655"
"04/03/2017","1910","1527","931"
"04/04/2017","2831","2435","842"
"04/05/2017","2437","2106","806"
"04/06/2017","2759","2463","795"
"04/07/2017","2696","2366","808"
"04/08/2017","1911","1700","598"
"04/09/2017","1663","1449","469"
"04/10/2017","1989","1671","719"
"04/11/2017","3379","3115","669"
"04/12/2017","2269","1630","1284"
"04/13/2017","3812","3343","1028"
"04/14/2017","2766","2372","862"
"04/15/2017","2330","2011","697"
"04/16/2017","1971","1725","626"
"04/17/2017","1782","1525","715"
"04/18/2017","4894","4473","1532"
"04/19/2017","6627","6084","2106"
"04/20/2017","3385","2795","1423"
"04/21/2017","3597","3192","1170"
"04/22/2017","2880","2463","1095"
"04/23/2017","2539","2176","1012"
"04/24/2017","3362","2780","1345"
"04/25/2017","4854","4311","1509"
"04/26/2017","4275","3542","1834"
"04/27/2017","7937","5311","4341"
"04/28/2017","6804","5264","2808"
"04/29/2017","5360","4477","2304"
"04/30/2017","6216","4509","4049"
"05/01/2017","13112","12024","4958"
"05/02/2017","7029","5825","3484"
"05/03/2017","6766","5891","2688"
"05/04/2017","8202","7300","2559"
"05/05/2017","5427","4247","2517"
"05/06/2017","6400","5540","2257"
"05/07/2017","5179","4239","2710"
"05/08/2017","6271","5123","3307"
"05/09/2017","6517","5336","2975"
"05/10/2017","5857","4817","3281"
"05/11/2017","6158","5089","3137"
"05/12/2017","5375","4529","2301"
"05/13/2017","5840","5171","2356"
"05/14/2017","4221","3186","2243"
"05/15/2017","6362","5072","2929"
"05/16/2017","4895","3904","2479"
"05/17/2017","9493","8567","3783"
"05/18/2017","7556","6271","3434"
"05/19/2017","7249","5679","3611"
"05/20/2017","7043","4957","3948"
"05/21/2017","7207","5584","4048"
"05/22/2017","6379","4947","3409"
"05/23/2017","9096","7680","3951"
"05/24/2017","9990","8346","4777"
"05/25/2017","8414","6955","3918"
"05/26/2017","6704","5551","2939"
"05/27/2017","5528","4453","2460"
"05/28/2017","6814","5354","3712"
"05/29/2017","6535","5415","3147"
"05/30/2017","8041","6591","3586"
"05/31/2017","8124","6283","4006"
"06/01/2017","8604","6971","3631"
"06/02/2017","15512","13884","3614"
"06/03/2017","8790","7123","3983"
"06/04/2017","9350","7793","4306"
"06/05/2017","9819","8262","4094"
"06/06/2017","10671","9124","4048"
"06/07/2017","13786","11880","4980"
"06/08/2017","11313","9844","4048"
"06/09/2017","18390","16637","4437"
"06/10/2017","10995","9339","4806"
"06/11/2017","10423","8629","4163"
"06/12/2017","24061","21795","4996"
"06/13/2017","14253","11554","6067"
"06/14/2017","13633","10938","5660"
"06/15/2017","15647","14033","4292"
"06/16/2017","13878","12158","4231"
"06/17/2017","12322","10661","4172"
"06/18/2017","10448","8734","4564"
"06/19/2017","21596","18689","7980"
"06/20/2017","28499","25701","5851"
"06/21/2017","20806","18574","3677"
"06/22/2017","15716","12560","7144"
"06/23/2017","17418","13972","8439"
"06/24/2017","12480","10331","5471"
"06/25/2017","10779","8868","4792"
"06/26/2017","13884","11649","5393"
"06/27/2017","16535","14543","4432"
"06/28/2017","26531","18976","13827"
"06/29/2017","26418","21067","11650"
"06/30/2017","15388","12669","6777"
"07/01/2017","19800","17362","7661"
"07/02/2017","24591","18849","13547"
"07/03/2017","28469","23001","15704"
"07/04/2017","23123","18727","11412"
"07/05/2017","27618","23472","11958"
"07/06/2017","24945","19802","12648"
"07/07/2017","29688","22574","16824"
"07/08/2017","23803","21142","9037"
"07/09/2017","26975","21947","12061"
"07/10/2017","31342","24238","14669"
"07/11/2017","29042","25034","10665"
"07/12/2017","31992","25771","13805"
"07/13/2017","25399","18563","12396"
"07/14/2017","20542","18095","8106"
"07/15/2017","23394","21462","6238"
"07/16/2017","26008","23851","7656"
"07/17/2017","22678","18495","10986"
"07/18/2017","18366","14899","9320"
"07/19/2017","25300","18935","13903"
"07/20/2017","23596","16707","11616"
"07/21/2017","19317","14806","10273"
"07/22/2017","22401","17699","10936"
"07/23/2017","25188","19815","12553"
"07/24/2017","26377","21218","13310"
"07/25/2017","24402","21617","8674"
"07/26/2017","19384","16545","9315"
"07/27/2017","20204","17424","7891"
"07/28/2017","25018","21849","8836"
"07/29/2017","13002","10244","6716"
"07/30/2017","16677","9220","11095"
"07/31/2017","26835","11759","19139"
"08/01/2017","15073","12701","6323"
"08/02/2017","22160","19381","7465"
"08/03/2017","21879","18232","10445"
"08/04/2017","20828","16735","12083"
"08/05/2017","25287","20489","14702"
"08/06/2017","34686","30402","13851"
"08/07/2017","26340","21311","14023"
"08/08/2017","27467","21597","15652"
"08/09/2017","21465","17713","11101"
"08/10/2017","34233","28520","17775"
"08/11/2017","39818","31126","25025"
"08/12/2017","41846","34285","22715"
"08/13/2017","32849","27652","16679"
"08/14/2017","46820","31605","26529"
"08/15/2017","44386","39635","16930"
"08/16/2017","40964","33991","21555"
"08/17/2017","43069","34190","24702"
"08/18/2017","40782","33884","20463"
"08/19/2017","38428","28972","22230"
"08/20/2017","33259","24201","18840"
"08/21/2017","42306","35335","18049"
"08/22/2017","45223","38197","16551"
"08/23/2017","37408","31095","17008"
"08/24/2017","45799","37276","18939"
"08/25/2017","46928","37001","20538"
"08/26/2017","37680","30902","15947"
"08/27/2017","42661","29663","22034"
"08/28/2017","44224","37508","17575"
"08/29/2017","53248","42316","25976"
"08/30/2017","55640","41252","29767"
"08/31/2017","47100","38547","21120"
"09/01/2017","49881","40020","24549"
"09/02/2017","46707","38427","19069"
"09/03/2017","40893","32137","18155"
"09/04/2017","54859","43334","25058"
"09/05/2017","65984","52634","27420"
"09/06/2017","84991","68152","36823"
"09/07/2017","76371","63389","31226"
"09/08/2017","84237","70617","31767"
"09/09/2017","70600","51690","34611"
"09/10/2017","50845","39773","23779"
"09/11/2017","55147","43733","23417"
"09/12/2017","67716","55200","26455"
"09/13/2017","77818","67479","21766"
"09/14/2017","86968","76420","22260"
"09/15/2017","93625","80903","25960"
"09/16/2017","84355","77503","17679"
"09/17/2017","120269","112178","17443"
"09/18/2017","112304","98120","26752"
"09/19/2017","107616","99587","19328"
"09/20/2017","73485","65938","18825"
"09/21/2017","104055","95319","18736"
"09/22/2017","93423","87043","14886"
"09/23/2017","73157","65781","15073"
"09/24/2017","46745","33885","24377"
"09/25/2017","65136","54481","22114"
"09/26/2017","71637","60869","21730"
"09/27/2017","68382","59656","20862"
"09/28/2017","66425","51690","28617"
"09/29/2017","50795","43363","16816"
"09/30/2017","49819","41754","17252"
"10/01/2017","47265","40118","17280"
"10/02/2017","51515","43046","19421"
"10/03/2017","56983","48037","18248"
"10/04/2017","44966","37170","16661"
"10/05/2017","45082","34938","20210"
"10/06/2017","45275","36257","18366"
"10/07/2017","47571","39898","17132"
"10/08/2017","53269","44060","19677"
"10/09/2017","59809","49583","20357"
"10/10/2017","70552","59191","23396"
"10/11/2017","54763","44355","20822"
"10/12/2017","67102","55739","23385"
"10/13/2017","71553","59458","24409"
"10/14/2017","64515","55212","19966"
"10/15/2017","57436","49955","17469"
"10/16/2017","114782","106158","19849"
"10/17/2017","127424","112579","28205"
"10/18/2017","92021","83737","18567"
"10/19/2017","94831","85271","20556"
"10/20/2017","104083","84891","33709"
"10/21/2017","62475","48434","28921"
"10/22/2017","42201","30882","21517"
"10/23/2017","118480","110778","18501"
"10/24/2017","107505","97583","23864"
"10/25/2017","118653","109976","21051"
"10/26/2017","147049","137438","22009"
"10/27/2017","170907","161109","22616"
"10/28/2017","197896","189881","19238"
"10/29/2017","204399","195852","21050"
"10/30/2017","206619","196258","24518"
"10/31/2017","186252","176026","26917"
"11/01/2017","161232","148069","33526"
"11/02/2017","194350","180810","31560"
"11/03/2017","246580","234312","26995"
"11/04/2017","197732","187967","20231"
"11/05/2017","118809","110058","19335"
"11/06/2017","114107","99005","27044"
"11/07/2017","121380","108698","26106"
"11/08/2017","101054","88584","27793"
"11/09/2017","67641","51168","33338"
"11/10/2017","84207","72462","27466"
"11/11/2017","181478","166957","26117"
"11/12/2017","169039","157859","24727"
"11/13/2017","167366","155527","25214"
"11/14/2017","138655","125639","31506"
"11/15/2017","96798","82469","31752"
"11/16/2017","104895","89592","31814"
"11/17/2017","101046","84600","31512"
"11/18/2017","182238","169780","29226"
"11/19/2017","164981","152200","28857"
"11/20/2017","148398","132553","35711"
"11/21/2017","140449","126103","30968"
"11/22/2017","112818","99830","30491"
"11/23/2017","103305","86193","34451"
"11/24/2017","121361","109799","26554"
"11/25/2017","160731","148969","29781"
"11/26/2017","106957","91653","33830"
"11/27/2017","971917","960143","40158"
"11/28/2017","180096","163884","38643"
"11/29/2017","124744","105586","43607"
"11/30/2017","86662","70561","36560"
