"DateTime","Average Priority Fee","Price"
"2022-12-25 00:00:00",3e-9,1211.6599999999999
"2022-12-26 00:00:00",3e-9,1221.27
"2022-12-27 00:00:00",3e-9,1217.755
"2022-12-28 00:00:00",3e-9,1198.5149999999999
"2022-12-29 00:00:00",3e-9,1195.865
"2022-12-30 00:00:00",3e-9,1191.88
"2022-12-31 00:00:00",4e-9,1199.325
"2023-01-01 00:00:00",3e-9,1197.3049999999998
"2023-01-02 00:00:00",4e-9,1207.375
"2023-01-03 00:00:00",4e-9,1212.215
"2023-01-04 00:00:00",1.1e-8,1239.72
"2023-01-05 00:00:00",4e-9,1250.77
"2023-01-06 00:00:00",4e-9,1255.75
"2023-01-07 00:00:00",3e-9,1265.775
"2023-01-08 00:00:00",4e-9,1275.3
"2023-01-09 00:00:00",4e-9,1314.5900000000001
"2023-01-10 00:00:00",4e-9,1331.63
"2023-01-11 00:00:00",4e-9,1357.13
"2023-01-12 00:00:00",4e-9,1402.2
"2023-01-13 00:00:00",5e-9,1432.635
"2023-01-14 00:00:00",5e-9,1525.17
"2023-01-15 00:00:00",4e-9,1541.565
"2023-01-16 00:00:00",6e-9,1562.2150000000001
"2023-01-17 00:00:00",4e-9,1574.685
"2023-01-18 00:00:00",5e-9,1556.1799999999998
"2023-01-19 00:00:00",4e-9,1536.235
"2023-01-20 00:00:00",4e-9,1602.405
"2023-01-21 00:00:00",4e-9,1650.395
"2023-01-22 00:00:00",4e-9,1635.115
"2023-01-23 00:00:00",4e-9,1619.65
"2023-01-24 00:00:00",8e-9,1589.315
"2023-01-25 00:00:00",5e-9,1578.87
"2023-01-26 00:00:00",5e-9,1605.805
"2023-01-27 00:00:00",5e-9,1587.5349999999999
"2023-01-28 00:00:00",4e-9,1582.645
"2023-01-29 00:00:00",4e-9,1612.675
"2023-01-30 00:00:00",4e-9,1593.35
"2023-01-31 00:00:00",5e-9,1582.9
"2023-02-01 00:00:00",6e-9,1602.875
"2023-02-02 00:00:00",5e-9,1671.28
"2023-02-03 00:00:00",5e-9,1651.965
"2023-02-04 00:00:00",4e-9,1670.5149999999999
"2023-02-05 00:00:00",4e-9,1642.5
"2023-02-06 00:00:00",5e-9,1632.6
"2023-02-07 00:00:00",6e-9,1645.375
"2023-02-08 00:00:00",6e-9,1664.365
