"Date(UTC)","UnixTimeStamp","Value"
"7/27/2020","1595808000","7408947483320944644976"
"7/28/2020","1595894400","5390118728745693388190"
"7/29/2020","1595980800","5617714564653579610690"
"7/30/2020","1596067200","5260650225870491995567"
"7/31/2020","1596153600","5923281011221086161618"
"8/1/2020","1596240000","4787707585697867678776"
"8/2/2020","1596326400","5869132000950836174936"
"8/3/2020","1596412800","5239882103576560135436"
"8/4/2020","1596499200","4364523550976062571426"
"8/5/2020","1596585600","4072485598146812543417"
"8/6/2020","1596672000","4472749497312235981305"
"8/7/2020","1596758400","5687037008480652926912"
"8/8/2020","1596844800","5151003834098893317623"
"8/9/2020","1596931200","6082735958813068791962"
"8/10/2020","1597017600","9332143403862948644579"
"8/11/2020","1597104000","9978837169161022042157"
"8/12/2020","1597190400","17753881325514429951316"
"8/13/2020","1597276800","20263769671817138975962"
"8/14/2020","1597363200","16401402644040696598472"
"8/15/2020","1597449600","9106110432234129429607"
"8/16/2020","1597536000","7887333043662946834337"
"8/17/2020","1597622400","8615110456915525905387"
"8/18/2020","1597708800","10289919865475848653542"
"8/19/2020","1597795200","10761369485028570386515"
"8/20/2020","1597881600","9115819759427231100957"
"8/21/2020","1597968000","12542571127880770334378"
"8/22/2020","1598054400","7988313002713527164302"
"8/23/2020","1598140800","6545508370911400747622"
"8/24/2020","1598227200","7735147337275361352838"
"8/25/2020","1598313600","8374263920855750279866"
"8/26/2020","1598400000","7184344913879484796998"
"8/27/2020","1598486400","7359339848328002175688"
"8/28/2020","1598572800","7197373137505451825337"
"8/29/2020","1598659200","7841944389077539377433"
"8/30/2020","1598745600","16600841154918788758936"
"8/31/2020","1598832000","18895060100885389447099"
"9/1/2020","1598918400","35517224014836771946337"
"9/2/2020","1599004800","37967158995045616164133"
"9/3/2020","1599091200","30984757575692851707096"
"9/4/2020","1599177600","18017476672827923240600"
"9/5/2020","1599264000","21819805280675596653698"
"9/6/2020","1599350400","10035002966135380862241"
"9/7/2020","1599436800","8661755118994052264771"
"9/8/2020","1599523200","7993849042571247572820"
"9/9/2020","1599609600","9240837949614631230289"
"9/10/2020","1599696000","13897301460729026795548"
"9/11/2020","1599782400","11537870588263039506401"
"9/12/2020","1599868800","8212912708706555168165"
"9/13/2020","1599955200","9308550821656136665766"
"9/14/2020","1600041600","15531715509734852938324"
"9/15/2020","1600128000","14752337821080603895050"
"9/16/2020","1600214400","11651239035254337276587"
"9/17/2020","1600300800","42763252557572970119021"
"9/18/2020","1600387200","24732127096720874081658"
"9/19/2020","1600473600","13538327845464227247798"
"9/20/2020","1600560000","10157693099799476198876"
"9/21/2020","1600646400","13563368148468521337954"
"9/22/2020","1600732800","12151093799380872014099"
"9/23/2020","1600819200","10063464325882687163225"
"9/24/2020","1600905600","8479593769060555238590"
"9/25/2020","1600992000","7685964086169958240160"
"9/26/2020","1601078400","6278130235212026915901"
"9/27/2020","1601164800","6376072825802040609154"
"9/28/2020","1601251200","9050854036796425177151"
"9/29/2020","1601337600","11274115345375588988536"
"9/30/2020","1601424000","8845797480531847854294"
"10/1/2020","1601510400","7447624885111999716653"
"10/2/2020","1601596800","6823689645782256716301"
"10/3/2020","1601683200","5560363638415608599743"
"10/4/2020","1601769600","5898282626407568753280"
"10/5/2020","1601856000","6467221106570851246190"
"10/6/2020","1601942400","8317971754174603468131"
"10/7/2020","1602028800","6123201142947645401413"
"10/8/2020","1602115200","5987751727555405228005"
"10/9/2020","1602201600","5752785534866861518614"
"10/10/2020","1602288000","4494541295798936979940"
"10/11/2020","1602374400","3585365603350568699498"
"10/12/2020","1602460800","5515120626498358226212"
"10/13/2020","1602547200","5702287880813999911906"
"10/14/2020","1602633600","5932708561644771397806"
"10/15/2020","1602720000","5823950302032914911005"
"10/16/2020","1602806400","4743680212700759521951"
"10/17/2020","1602892800","2589454098504457806787"
"10/18/2020","1602979200","2744857555907111178138"
"10/19/2020","1603065600","4181258994600723270322"
"10/20/2020","1603152000","4532199097751162325362"
"10/21/2020","1603238400","5743034746350374522693"
"10/22/2020","1603324800","4850827673682426605359"
"10/23/2020","1603411200","4402466178893541449251"
"10/24/2020","1603497600","2261147611299623551910"
"10/25/2020","1603584000","2346400107210437054873"
"10/26/2020","1603670400","4418605406656683952454"
"10/27/2020","1603756800","3148634086903841585321"
"10/28/2020","1603843200","4849673848465553855423"
"10/29/2020","1603929600","5094813369016235788348"
"10/30/2020","1604016000","4618596845458168653214"
"10/31/2020","1604102400","2992672543774722614689"
"11/1/2020","1604188800","2414139493832761651069"
"11/2/2020","1604275200","4397645830555131577829"
"11/3/2020","1604361600","3354799838846663791656"
"11/4/2020","1604448000","2771964514838866558572"
"11/5/2020","1604534400","3763177025266295059522"
"11/6/2020","1604620800","4519434580562016286944"
"11/7/2020","1604707200","4275488754362712987799"
"11/8/2020","1604793600","2131668035689096399242"
"11/9/2020","1604880000","3182897313536644770713"
"11/10/2020","1604966400","3776709143616454788485"
"11/11/2020","1605052800","3752279971827700559991"
"11/12/2020","1605139200","4175992024341708388376"
"11/13/2020","1605225600","4109253811259926391952"
"11/14/2020","1605312000","2791589601018459046990"
"11/15/2020","1605398400","2520817489438703190996"
"11/16/2020","1605484800","3540927879130815196920"
"11/17/2020","1605571200","5886356957043018059740"
"11/18/2020","1605657600","6371600162011501415574"
"11/19/2020","1605744000","3886146956314734808361"
"11/20/2020","1605830400","5098655479830899243023"
"11/21/2020","1605916800","5071950928216763886487"
"11/22/2020","1606003200","4852224582306656194632"
"11/23/2020","1606089600","5825958416198317635880"
"11/24/2020","1606176000","7166078127459040692628"
"11/25/2020","1606262400","4578870014023181699836"
"11/26/2020","1606348800","11194829949508490394507"
"11/27/2020","1606435200","3124361353299466177460"
"11/28/2020","1606521600","2243440487372992424878"
"11/29/2020","1606608000","1962351069141875123058"
"11/30/2020","1606694400","6022470624959342466084"
"12/1/2020","1606780800","6541401465064966500863"
"12/2/2020","1606867200","3155093081356283776754"
"12/3/2020","1606953600","3488168407202459037923"
"12/4/2020","1607040000","3936325226402195942588"
"12/5/2020","1607126400","2662916849499619293859"
"12/6/2020","1607212800","2648307254583117752489"
"12/7/2020","1607299200","3570713220894821017486"
"12/8/2020","1607385600","4845224402755908082520"
"12/9/2020","1607472000","5024915425157400356941"
"12/10/2020","1607558400","4250053824138107313057"
"12/11/2020","1607644800","4829411382476886314933"
"12/12/2020","1607731200","3106768214039431286502"
"12/13/2020","1607817600","3321300573124515698558"
"12/14/2020","1607904000","4749089317124694569564"
"12/15/2020","1607990400","6519638015594606351787"
"12/16/2020","1608076800","6414620451282445524990"
"12/17/2020","1608163200","11024418931986822051632"
"12/18/2020","1608249600","5561513982684309160671"
"12/19/2020","1608336000","4889283132148064731641"
"12/20/2020","1608422400","3415530311898717920504"
"12/21/2020","1608508800","6179877798102816991226"
"12/22/2020","1608595200","5216004397573692430654"
"12/23/2020","1608681600","8973283352898772355691"
"12/24/2020","1608768000","6673366342259494494855"
"12/25/2020","1608854400","7100311115767877119139"
"12/26/2020","1608940800","5203245310740138529570"
"12/27/2020","1609027200","7559859752628189850332"
"12/28/2020","1609113600","8873285573476835698425"
"12/29/2020","1609200000","7421205326538725579138"
"12/30/2020","1609286400","8986764067689460938036"
"12/31/2020","1609372800","7765748557006718519448"
"1/1/2021","1609459200","5188673350531175554934"
"1/2/2021","1609545600","8012065284591724881693"
"1/3/2021","1609632000","13011093414713252254422"
"1/4/2021","1609718400","20121689310918399774738"
"1/5/2021","1609804800","10958666235017975119213"
"1/6/2021","1609891200","9762946781745039801645"
"1/7/2021","1609977600","10633979171740481258580"
"1/8/2021","1610064000","11193151282887736372084"
"1/9/2021","1610150400","7201345914579737277042"
"1/10/2021","1610236800","6984828711784490988462"
"1/11/2021","1610323200","19748380038577877507475"
"1/12/2021","1610409600","6776868851920189141884"
"1/13/2021","1610496000","5372778086980113189886"
"1/14/2021","1610582400","6499371431415466664876"
"1/15/2021","1610668800","7421966136148510983391"
"1/16/2021","1610755200","6302569290204782821713"
"1/17/2021","1610841600","4872880895114209404969"
"1/18/2021","1610928000","5797311326614873372554"
"1/19/2021","1611014400","7959149669110943991980"
"1/20/2021","1611100800","6658691192087621162537"
"1/21/2021","1611187200","9736678614934522525583"
"1/22/2021","1611273600","10383079231260571897091"
"1/23/2021","1611360000","6336811105425110321659"
"1/24/2021","1611446400","6396685655600981758569"
"1/25/2021","1611532800","8615004048348664985196"
"1/26/2021","1611619200","6683692815493120570533"
"1/27/2021","1611705600","7733098276022721217996"
"1/28/2021","1611792000","7335124632177530419528"
"1/29/2021","1611878400","10902221997387525434882"
"1/30/2021","1611964800","8642494763495232036805"
"1/31/2021","1612051200","10261033113180560289534"
"2/1/2021","1612137600","12133382592579924688629"
"2/2/2021","1612224000","13774193894744592007225"
"2/3/2021","1612310400","13710006459665203856473"
"2/4/2021","1612396800","18797579496253288551956"
"2/5/2021","1612483200","19744594789790892607314"
"2/6/2021","1612569600","14069806309724048017560"
"2/7/2021","1612656000","12582483936142623245174"
"2/8/2021","1612742400","16517111731421847337285"
"2/9/2021","1612828800","18354158265520827552444"
"2/10/2021","1612915200","16946130504446564536396"
"2/11/2021","1613001600","13602170497611930562806"
"2/12/2021","1613088000","14025280105176138108657"
"2/13/2021","1613174400","14523666757962956269623"
"2/14/2021","1613260800","11680626065906394887638"
"2/15/2021","1613347200","14269453142041934222688"
"2/16/2021","1613433600","13460135441691420816475"
"2/17/2021","1613520000","13849546528774468921586"
"2/18/2021","1613606400","14406597028680183796103"
"2/19/2021","1613692800","14951121918959029037010"
"2/20/2021","1613779200","15925496384518425935188"
"2/21/2021","1613865600","11338021333935633421255"
"2/22/2021","1613952000","22368806840796279081600"
"2/23/2021","1614038400","31702760973821931650825"
"2/24/2021","1614124800","16301979400513223664456"
"2/25/2021","1614211200","13131672119319221746775"
"2/26/2021","1614297600","12724116392048557095458"
"2/27/2021","1614384000","9481603056450583139881"
"2/28/2021","1614470400","9587082321326665329072"
"3/1/2021","1614556800","9272588476905814449522"
"3/2/2021","1614643200","9933724507414726368145"
"3/3/2021","1614729600","10186824284111926429433"
"3/4/2021","1614816000","8932718515545677070229"
"3/5/2021","1614902400","11007323918824241669529"
"3/6/2021","1614988800","7843716824010467842660"
"3/7/2021","1615075200","10461902303473513716039"
"3/8/2021","1615161600","10860456038381387884062"
"3/9/2021","1615248000","11010833749891642415862"
"3/10/2021","1615334400","10727397898463909219609"
"3/11/2021","1615420800","10620444112852177488554"
"3/12/2021","1615507200","13597562723655984893486"
"3/13/2021","1615593600","12999054088625398598386"
"3/14/2021","1615680000","11927853651881557631634"
"3/15/2021","1615766400","15017507737253761238268"
"3/16/2021","1615852800","14933713897480804731404"
