"Date(UTC)","UnixTimeStamp","No. of ERC20 Token Transfers"
"2019-06-15","1560556800","576733"
"2019-06-16","1560643200","435570"
"2019-06-17","1560729600","596076"
"2019-06-18","1560816000","501268"
"2019-06-19","1560902400","505683"
"2019-06-20","1560988800","647489"
"2019-06-21","1561075200","414255"
"2019-06-22","1561161600","375734"
"2019-06-23","1561248000","415711"
"2019-06-24","1561334400","443672"
"2019-06-25","1561420800","574105"
"2019-06-26","1561507200","403462"
"2019-06-27","1561593600","390526"
"2019-06-28","1561680000","644207"
"2019-06-29","1561766400","390904"
"2019-06-30","1561852800","438698"
"2019-07-01","1561939200","628645"
"2019-07-02","1562025600","610490"
"2019-07-03","1562112000","507033"
"2019-07-04","1562198400","465329"
"2019-07-05","1562284800","570524"
"2019-07-06","1562371200","524755"
"2019-07-07","1562457600","401731"
"2019-07-08","1562544000","500464"
"2019-07-09","1562630400","421958"
"2019-07-10","1562716800","391756"
"2019-07-11","1562803200","634787"
"2019-07-12","1562889600","414775"
"2019-07-13","1562976000","325832"
"2019-07-14","1563062400","374915"
"2019-07-15","1563148800","439144"
"2019-07-16","1563235200","710256"
"2019-07-17","1563321600","527516"
"2019-07-18","1563408000","394262"
"2019-07-19","1563494400","588067"
"2019-07-20","1563580800","476458"
"2019-07-21","1563667200","382260"
"2019-07-22","1563753600","439923"
"2019-07-23","1563840000","401105"
"2019-07-24","1563926400","649104"
"2019-07-25","1564012800","738952"
"2019-07-26","1564099200","452319"
"2019-07-27","1564185600","370195"
"2019-07-28","1564272000","420876"
"2019-07-29","1564358400","388084"
"2019-07-30","1564444800","396732"
"2019-07-31","1564531200","469935"
"2019-08-01","1564617600","629037"
"2019-08-02","1564704000","525894"
"2019-08-03","1564790400","542085"
"2019-08-04","1564876800","406690"
"2019-08-05","1564963200","435381"
"2019-08-06","1565049600","419206"
"2019-08-07","1565136000","471888"
"2019-08-08","1565222400","532040"
"2019-08-09","1565308800","453939"
"2019-08-10","1565395200","364099"
"2019-08-11","1565481600","325984"
"2019-08-12","1565568000","419338"
"2019-08-13","1565654400","419155"
"2019-08-14","1565740800","415500"
