"DateTime","Number of Transactions","Price"
"2019-02-25 00:00:00",526898.86,135.81
"2019-03-04 00:00:00",551359,135.25
"2019-03-11 00:00:00",526454.57,135.88
"2019-03-18 00:00:00",584134.29,137.9
"2019-03-25 00:00:00",627913.57,138.91
"2019-04-01 00:00:00",647322.43,160.59
"2019-04-08 00:00:00",643511.29,171.51
"2019-04-15 00:00:00",654065.57,169.05
"2019-04-22 00:00:00",647087.57,162.8
"2019-04-29 00:00:00",645981,162.23
"2019-05-06 00:00:00",693035.14,177.13
"2019-05-13 00:00:00",783954.71,233.5
"2019-05-20 00:00:00",824561.57,251.14
"2019-05-27 00:00:00",896270.86,266.9
"2019-06-03 00:00:00",804942.57,245.68
"2019-06-10 00:00:00",864018.57,255.93
"2019-06-17 00:00:00",833052.29,282.62
"2019-06-24 00:00:00",816550,311.09
"2019-07-01 00:00:00",777427.14,291.41
"2019-07-08 00:00:00",732906.29,283.05
"2019-07-15 00:00:00",726220.43,218.31
"2019-07-22 00:00:00",686920.57,214.29
"2019-07-29 00:00:00",710042,215.62
"2019-08-05 00:00:00",676968.14,220.14
"2019-08-12 00:00:00",677068.86,193.89
"2019-08-19 00:00:00",703703.14,192.31
"2019-08-26 00:00:00",703791.43,176.13
"2019-09-02 00:00:00",715273.71,176.13
"2019-09-09 00:00:00",668859.71,181.96
"2019-09-16 00:00:00",659108.71,210.24
"2019-09-23 00:00:00",631255.29,175.32
"2019-09-30 00:00:00",605676.71,175.79
"2019-10-07 00:00:00",661441.43,184.08
"2019-10-14 00:00:00",667780.86,177.07
"2019-10-21 00:00:00",698295.43,173.85
"2019-10-28 00:00:00",668086,184.12
"2019-11-04 00:00:00",681314.86,187.01
"2019-11-11 00:00:00",658445.71,184.66
"2019-11-18 00:00:00",689227.43,163.53
"2019-11-25 00:00:00",644385.14,149.61
"2019-12-02 00:00:00",571721.29,148.48
"2019-12-09 00:00:00",591956.43,144.73
"2019-12-16 00:00:00",594521.43,129.22
"2019-12-23 00:00:00",557273.71,128.42
"2019-12-30 00:00:00",529153.29,132.05
"2020-01-06 00:00:00",591325.43,141.76
"2020-01-13 00:00:00",635986.86,162.86
"2020-01-20 00:00:00",502376.71,163.99
"2020-01-27 00:00:00",524910,177.79
"2020-02-03 00:00:00",594490.14,207.33
"2020-02-10 00:00:00",707085.14,254.28
"2020-02-17 00:00:00",655308.71,263.74
"2020-02-24 00:00:00",658602.43,235.76
"2020-03-02 00:00:00",656448,229.35
"2020-03-09 00:00:00",722783.57,159.39
